afghanistan,afraid,army,battle,combat,conflict,cyber,cybersecurity,enemies,enemy,fear,fears,fight,fights,force,fought,genocide,iran,iraq,isis,israel,jihad,korea,length,marine,marines,militant,military,missile,missiles,navy,nuclear,president,proxy,qaeda,russia,soldier,soldiers,soviet,struggle,taliban,terror,terrorism,terrorist,terrorists,threat,threaten,threatens,threats,trench,trenches,troop,troops,ussr,vietnam,war,warfare,wars,wartime,year
0.0,0.0,15.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,19.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,15892.0,1.0,1.0,0.0,9.0,0.0,0.0,18.0,0.0,Cleveland,0.0,0.0,8.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,42.0,1.0,2.0,0.0,1894.0
0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14671.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,Cleveland,0.0,0.0,9.0,1.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,1895.0
0.0,0.0,7.0,7.0,2.0,4.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15443.0,3.0,0.0,0.0,9.0,0.0,0.0,9.0,0.0,Cleveland,0.0,0.0,1.0,3.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,2.0,0.0,3.0,3.0,0.0,0.0,20.0,0.0,0.0,0.0,1896.0
0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7007.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,Clinton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1993.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,10.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,7400.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,4.0,Clinton,0.0,0.0,7.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,1994.0
0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,3.0,0.0,9.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,9143.0,1.0,0.0,0.0,3.0,2.0,1.0,0.0,5.0,Clinton,0.0,0.0,3.0,1.0,0.0,0.0,3.0,0.0,7.0,1.0,5.0,3.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,18.0,0.0,0.0,0.0,1995.0
0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6283.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,5.0,Clinton,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,4.0,0.0,0.0,3.0,0.0,0.0,2.0,2.0,0.0,2.0,11.0,0.0,0.0,0.0,1996.0
0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,11.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,6742.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,Clinton,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,1.0,13.0,0.0,1.0,0.0,1997.0
0.0,1.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,3.0,0.0,5.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,7283.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,4.0,Clinton,0.0,0.0,1.0,2.0,2.0,0.0,1.0,0.0,3.0,0.0,2.0,2.0,4.0,1.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,1.0,12.0,0.0,0.0,0.0,1998.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0,0.0,0.0,0.0,5.0,3.0,2.0,0.0,2.0,7472.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,5.0,Clinton,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,6.0,2.0,1.0,1.0,5.0,2.0,0.0,2.0,0.0,0.0,3.0,3.0,0.0,0.0,13.0,0.0,1.0,0.0,1999.0
